#N/A	Geneid	Fmr1_RPF_4	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RPF_5	Fmr1_RPF_6	Fmr1_RNA_3	Fmr1_RNA_4	Fmr1_RPF_2	control_RNA_2	Fmr1_RNA_6	control_RPF_4	control_RNA_3	Fmr1_RPF_7	Fmr1_RNA_5	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1			#SUBMITTED ID	SYMBOL
CG2182	FBgn0037360	13	1106	8352	1239	1074	897	410	7734	9456	688	8085	8269	600	9158	565	8738	7985	8441	881	22			FBgn0027610	Dic1
Wdr33	FBgn0046222	1	113	3674	106	95	89	19	4160	5415	57	4594	3366	45	5407	45	4628	4134	5126	87	4			FBgn0034438	CG9416
Xe7	FBgn0010772	0	97	3233	73	68	67	30	3186	3538	41	2961	3003	37	3480	42	3213	3213	3281	45	0			FBgn0031318	CG4887
Atg17	FBgn0037363	0	166	9375	166	191	149	47	8220	9310	129	8672	8400	79	10191	80	8526	8758	8832	104	0			FBgn0014075	Uggt
Rab23	FBgn0037364	7	108	3500	127	85	90	49	3314	3964	54	4203	2964	67	4911	82	3683	3568	4357	50	0			FBgn0031309	Tfb4
plx	FBgn0261261	0	124	2622	154	171	164	66	2146	2002	120	1634	2362	95	1854	99	2193	2273	1597	116	2			FBgn0011785	BRWD3
CG2104	FBgn0037365	0	0	3	0	0	0	0	2	2	0	0	3	0	0	0	3	2	1	0	0			FBgn0036213	RpL10Ab
cas	FBgn0004878	0	0	112	4	7	7	0	99	73	2	77	103	1	54	0	76	114	63	0	0			FBgn0030662	Chsy
CG1239	FBgn0037368	0	90	2122	111	71	79	44	2097	2457	36	2578	1961	47	2994	50	2380	2299	2639	74	0			FBgn0260799	p120ctn
CG2100	FBgn0037369	2	171	2092	123	104	77	34	1947	2245	90	2228	1945	57	2525	47	2195	2094	2350	89	1			FBgn0028688	Rpn7
CG1236	FBgn0037370	4	182	2696	234	217	161	82	2671	3512	124	3219	3057	84	3773	85	3329	2909	3451	180	3			FBgn0004648	svr
Sym	FBgn0037371	2	219	4510	285	255	222	94	4321	5446	153	5023	4378	127	5958	116	4906	4625	5227	205	11			FBgn0038612	cona
Madm	FBgn0027497	2	33	2423	71	49	45	17	2263	2901	42	2487	2442	22	2802	26	2367	2488	2594	30	0			FBgn0039977	Spf30
CG2091	FBgn0037372	0	381	2188	583	431	486	232	1916	2531	298	2302	2148	278	2674	277	2518	2225	2395	429	2			FBgn0036770	Prestin
Sec8	FBgn0266672	0	83	5131	151	90	72	24	4887	6067	100	4985	5199	47	5746	54	5575	4917	5284	80	0			FBgn0264848	vih
CG2082	FBgn0027608	0	0	66	3	6	2	1	35	18	0	13	27	5	9	1	28	65	10	12	0			FBgn0030309	CG1572
jagn	FBgn0037374	0	37	3676	48	41	41	11	3508	4402	44	3807	3350	22	4288	16	3892	3714	4026	48	0			FBgn0000100	RpLP0
kat-60L1	FBgn0037375	0	0	4	0	1	0	0	6	1	1	0	1	0	1	0	1	5	0	0	0			FBgn0003279	RpL4
Hat1	FBgn0037376	5	742	4254	840	594	676	330	4629	5782	383	5989	3950	424	7257	394	5376	4909	6610	622	2			FBgn0266709	Zmynd10
Rpn5	FBgn0028690	11	1138	13434	1550	1230	1177	555	12815	15080	1014	14639	12937	716	16816	719	14107	13703	15968	1246	9			FBgn0262987	CG43295
CG1218	FBgn0037377	1	385	2425	540	381	424	215	2298	2946	315	2574	2480	205	3214	167	2748	2578	3014	364	3			FBgn0003475	spir
PSMG1	FBgn0037378	1	285	2254	363	283	276	120	2216	2757	164	3030	2264	179	3350	144	2577	2545	3314	234	0			FBgn0004404	RpS14b
CG10979	FBgn0037379	0	41	5880	94	66	47	15	5504	6460	20	6038	5224	44	7082	34	5641	5778	6058	71	1			FBgn0060296	pain
CG11000	FBgn0263353	0	2	23	1	2	0	2	30	15	0	8	6	0	15	0	7	26	9	0	0			FBgn0032236	mRpS7
CG42675	FBgn0261561	0	2	14	1	0	0	1	11	6	0	3	17	2	10	0	8	18	8	2	0			FBgn0266410	CG45050
Hpr1	FBgn0037382	3	263	2038	288	222	225	88	1917	2398	155	2120	1945	127	2379	149	2265	2003	2070	215	0			FBgn0027596	Kank
CG46303	FBgn0284081	0	0	2	0	1	0	0	0	1	0	1	0	0	1	0	1	0	2	0	0			FBgn0004169	up
Sec20	FBgn0037383	0	68	935	77	45	42	31	926	1131	27	1211	898	41	1382	44	1024	936	1389	51	0			FBgn0086134	Prosalpha2
dgrn	FBgn0037384	1	314	2698	383	266	329	140	2427	3055	218	3249	2380	255	3851	145	2786	2771	3511	264	0			FBgn0051855	CG31855
glob3	FBgn0037385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0052590	CG32590
CG1208	FBgn0037386	0	0	1	4	5	3	1	7	3	2	5	8	5	3	1	9	3	6	1	0			FBgn0031975	Tg
CG1213	FBgn0037387	0	17	11	4	8	5	9	3	3	0	7	3	1	3	10	51	19	12	6	0			FBgn0035318	CG9018
CG14676	FBgn0037388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0032713	Ugt36D1
disp	FBgn0029088	0	7	4935	22	22	18	1	4191	5069	6	4569	4177	11	5250	9	4371	4538	4691	10	0			FBgn0260942	bond
CG34287	FBgn0085316	0	1	2	0	3	0	0	6	4	0	0	2	2	1	2	6	3	2	3	0			FBgn0001942	eIF4A
ECSIT	FBgn0028436	0	90	667	130	101	102	47	716	893	91	847	689	70	989	74	847	687	991	95	4			FBgn0032200	CG5676
CG2017	FBgn0037391	0	39	514	34	46	45	10	554	501	22	393	443	20	482	16	504	532	463	40	0			FBgn0051729	CG31729
side-III	FBgn0083949	0	0	3	1	2	0	0	1	0	0	2	3	0	0	0	0	0	0	1	0			FBgn0032453	CG6180
CG11373	FBgn0040679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0034199	Gbp1
Obp83a	FBgn0011281	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0036336	ste14
Obp83b	FBgn0010403	0	0	2	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0			FBgn0040308	Jafrac2
Rm62	FBgn0003261	32	1254	61991	1434	1311	1009	557	51237	54711	901	44255	53009	650	49692	609	49715	56982	44581	984	23			FBgn0033802	CG17724
CG10280	FBgn0037395	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0			FBgn0003495	spz
CG11459	FBgn0037396	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0			FBgn0053977	Dpm3
CG15580	FBgn0037398	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0			FBgn0004513	Mdr65
Or83c	FBgn0037399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0034231	APC10
Gasp	FBgn0026077	0	14	24	19	19	25	1	29	33	11	22	23	11	8	1	27	28	16	12	0			FBgn0038765	CG4424
Obp83cd	FBgn0046878	0	6	0	0	1	0	1	0	1	0	2	1	0	0	0	0	1	1	0	0			FBgn0028331	l(1)G0289
Obp83ef	FBgn0046876	0	0	1	0	0	0	0	1	0	0	0	1	0	1	2	3	0	0	1	0			FBgn0031305	Iris
Obp83g	FBgn0046875	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0			FBgn0031981	Megf8
Vha14-2	FBgn0037402	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037620	ranshi
CG31559	FBgn0051559	1	0	14	1	3	1	0	12	9	0	5	16	0	5	3	3	9	6	4	0			FBgn0058263	MFS17
CG1077	FBgn0037405	0	154	1252	138	117	107	25	11	211	150	112	591	272	208	30	17	907	300	245	1			FBgn0262124	uex
Osi1	FBgn0037406	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0			FBgn0250746	Prosbeta7
NPFR	FBgn0037408	0	1	5	1	0	0	0	4	5	0	0	7	0	5	0	3	3	0	0	0			FBgn0028734	Fmr1
Osi24	FBgn0037409	0	0	18	0	1	0	0	10	8	2	4	17	1	8	1	19	23	4	1	0			FBgn0016038	Vsp37A
Osi2	FBgn0037410	0	0	0	6	4	4	0	6	4	2	5	0	3	2	0	2	1	1	3	0			FBgn0025879	Timp
Osi3	FBgn0037411	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0004584	Rrp1
Osi4	FBgn0037412	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0			FBgn0001316	klar
Osi5	FBgn0037413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0286898	Tango1
Osi6	FBgn0027527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0032283	CG7296
Osi7	FBgn0037414	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0			FBgn0001978	stc
Osi8	FBgn0037415	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0032899	CG9338
Osi9	FBgn0037416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0036666	TSG101
Osi10a	FBgn0286976	0	2	0	2	2	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0			FBgn0028970	RabGGTb
Osi10b	FBgn0286977	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0051676	CG31676
Osi11	FBgn0037418	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0			FBgn0038981	CG5346
Osi12	FBgn0037419	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			FBgn0033159	Dscam1
CG15597	FBgn0037420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0023172	RhoGEF2
CG15594	FBgn0037421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0022382	Pka-R2
Osi13	FBgn0037422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0001291	Jra
Osi14	FBgn0040279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0034490	CG9864
Osi15	FBgn0037424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0			FBgn0004066	Prosalpha4
CG46396	FBgn0286874	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0034628	Acox57D-p
Osi16	FBgn0051561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0262608	CG43134
CG46026	FBgn0267690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0027364	Six4
CG31560	FBgn0051560	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0011289	TfIIA-L
Osi17	FBgn0037427	0	2	4	5	7	2	1	1	0	0	0	2	1	1	0	0	0	2	0	0			FBgn0027621	Pfrx
Osi18	FBgn0037428	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0			FBgn0032244	RfC3
Osi19	FBgn0037429	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0			FBgn0040011	Slmap
Osi20	FBgn0037430	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0			FBgn0003071	Pfk
CG17917	FBgn0037431	0	0	5	0	0	0	0	7	5	0	3	3	0	2	0	3	15	1	0	0			FBgn0034259	P32
CG10298	FBgn0037432	0	0	16	1	1	0	0	6	7	0	3	10	0	1	0	2	10	2	0	0			FBgn0031822	Phf5a
CG17919	FBgn0037433	0	9	55	5	24	11	2	37	51	8	40	35	3	44	14	32	57	32	14	0			FBgn0029688	lva
SmD2	FBgn0261789	8	447	3814	472	385	350	145	3390	4052	281	4140	3526	181	4485	229	3968	3779	4410	410	0			FBgn0010265	RpS13
CG18048	FBgn0037435	0	86	1159	104	50	65	42	1119	1215	54	1407	1196	17	1416	16	1334	1157	1377	44	0			FBgn0036155	CG6163
Hr83	FBgn0037436	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	2	3	0	0			FBgn0039271	CG11839
Pak	FBgn0267698	0	131	6232	172	141	102	54	5875	7591	87	6570	6085	80	7647	73	6822	6113	6940	94	1			FBgn0000636	Fas3
CG42724	FBgn0261641	4	273	4753	332	328	246	113	4480	5226	150	4437	4404	130	5027	127	4493	4808	4418	217	9			FBgn0026562	SPARC
CG10286	FBgn0037439	2	236	2367	252	189	216	86	2070	2342	131	1941	2678	111	2120	103	2231	2223	1803	161	4			FBgn0037213	CG12581
CRAT	FBgn0037440	2	158	1433	172	159	117	46	1286	1420	114	1287	1376	79	1500	98	1431	1368	1408	142	1			FBgn0039580	Gfat2
CG42564	FBgn0260766	0	1	10	2	0	0	0	9	10	0	11	19	0	9	0	9	8	8	1	0			FBgn0040228	DCTN5-p25
CG1024	FBgn0027514	3	79	899	68	57	41	19	934	1041	33	1318	886	34	1524	37	964	948	1384	46	0			FBgn0037758	CG9467
CG42537	FBgn0260645	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0			FBgn0038420	CG10311
TfIIFalpha	FBgn0010282	1	303	6417	499	328	380	147	6892	8089	256	7258	6218	152	8531	164	7481	6654	8295	282	2			FBgn0028473	Non1
gzl	FBgn0037442	1	123	6527	113	119	93	29	5834	6952	88	5522	5801	67	6337	62	6515	6158	6069	84	0			FBgn0026059	Mhcl
Dmtn	FBgn0037443	1	148	3651	131	118	145	57	3038	3379	91	2989	3181	65	3563	71	3244	3534	3092	116	1			FBgn0030816	CG16700
gpp	FBgn0264495	0	28	18094	70	74	35	25	15466	16064	28	14443	14881	24	16270	27	13862	16709	14064	43	0			FBgn0262624	Tmhs
CG9727	FBgn0037445	0	39	4750	33	26	21	13	3790	3644	25	3175	3496	6	3451	3	3199	4484	2740	14	0			FBgn0030391	Rab40
Zif	FBgn0037446	2	158	1402	115	111	62	36	1409	1521	32	1753	1254	33	2115	59	1485	1426	1949	60	0			FBgn0264291	Det
Neurochondrin	FBgn0037447	0	23	187	27	31	21	4	141	118	22	59	137	5	59	14	121	174	67	31	1			FBgn0035831	Pop4
CG15186	FBgn0037448	0	1	62	0	0	0	0	44	41	1	18	29	1	17	0	40	49	28	3	0			FBgn0050154	CG30154
CG15185	FBgn0037449	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0002563	Lsp1beta
dpr11	FBgn0053202	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			FBgn0039297	CG11852
Pif2	FBgn0046873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0023458	Rbcn-3A
CG1137	FBgn0037454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0			FBgn0033554	Lsm10
CG2336	FBgn0037455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0266717	Bruce
CG1138	FBgn0037456	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0086706	pix
CG31482	FBgn0051482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0011217	eff
glob2	FBgn0250846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0032897	CG9336
sowi	FBgn0037460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0000319	Chc
CG15177	FBgn0037461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0034879	Rrp4
sunz	FBgn0037462	0	5	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0			FBgn0260932	cuff
CG31286	FBgn0051286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0028482	bdl
Ass	FBgn0026565	0	3	1	1	0	0	2	0	0	0	2	1	0	0	1	2	2	0	1	0			FBgn0039765	mRpS18C
Taf1	FBgn0010355	3	622	8826	604	630	435	224	8072	10453	295	7917	8389	321	9256	266	9045	8610	8141	335	1			FBgn0033994	CG7544
CG1307	FBgn0026566	1	62	4334	111	97	40	30	4609	5702	50	4765	4263	28	5624	45	5111	4646	5395	105	0			FBgn0037481	MAGE
twr	FBgn0262801	0	222	1311	215	160	123	46	1068	1454	129	1323	1162	105	1487	54	1408	1222	1411	164	0			FBgn0029507	Tsp42Ed
agt	FBgn0024912	0	81	515	91	82	63	32	509	632	56	633	441	41	691	28	620	544	599	87	9			FBgn0000635	Fas2
lab	FBgn0002522	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	2	0	0	0	0			FBgn0038720	CG6231
Edg84A	FBgn0000552	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0			FBgn0259736	CG42390
Ccp84Ag	FBgn0004777	0	5	2	0	4	1	2	4	1	0	1	2	6	0	1	3	2	1	0	0			FBgn0014863	Mlp84B
Ccp84Af	FBgn0004778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0034638	CG10433
Ccp84Ae	FBgn0004779	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0			FBgn0031951	r2d2
Ccp84Ad	FBgn0004780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029824	CG3726
Ccp84Ac	FBgn0004781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0			FBgn0050000	GstT1
Ccp84Ab	FBgn0004782	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0033484	CG2269
Ccp84Aa	FBgn0004783	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0035422	RpL28
pb	FBgn0051481	1	2	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0			FBgn0051774	fred
zen2	FBgn0004054	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0			FBgn0036279	Ncc69
CG34297	FBgn0085326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0000928	fs(1)Yb
zen	FBgn0004053	0	0	123	0	1	0	0	104	69	0	59	72	0	55	0	69	114	61	0	0			FBgn0264894	CG44085
bcd	FBgn0000166	0	4	3746	17	7	1	2	3338	3528	7	4598	3195	4	4768	2	3929	3493	3990	5	0			FBgn0037657	hyx
Ama	FBgn0000071	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0001324	kto
Dfd	FBgn0000439	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037530	EMC1
Scr	FBgn0003339	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0039336	CG4553
ftz	FBgn0001077	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0			FBgn0039709	Cad99C
Antp	FBgn0260642	0	9	2	5	5	7	0	1	3	8	1	1	8	1	7	1	11	2	11	0			FBgn0030332	CG9360
CG46458	FBgn0287588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037336	CG2519
Sodh-1	FBgn0024289	0	7	19	4	4	2	7	6	0	0	4	4	0	8	0	49	24	15	2	0			FBgn0033698	CG8858
CG1979	FBgn0026563	1	0	2	0	1	0	1	1	0	0	0	0	0	1	1	2	2	0	0	0			FBgn0027866	CG9776
dj	FBgn0019828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0053107	CG33107
djl	FBgn0037463	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			FBgn0032187	CG4839
Mst84B	FBgn0037464	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0			FBgn0027784	Prp18
CG1105	FBgn0037465	0	106	1016	103	85	82	26	875	1083	55	1122	980	28	1335	52	1071	1048	1127	87	0			FBgn0030510	CG12177
CG1965	FBgn0037466	3	165	2358	204	142	176	88	2097	2576	94	2586	2449	133	2976	97	2459	2395	2708	151	0			FBgn0003053	peb
Ufl1	FBgn0037467	0	108	1015	139	127	130	60	935	1001	77	768	901	67	891	69	921	1000	751	113	0			FBgn0261976	Psf2
CG1943	FBgn0037468	6	910	24163	1042	690	635	308	24080	28401	717	26402	22792	444	29463	467	26046	25342	28326	769	4			FBgn0033446	CG1648
Ref1	FBgn0010774	5	575	14916	906	702	640	281	14419	20565	380	16878	15264	265	18770	346	17047	15514	19522	596	9			FBgn0029503	mora
Dpck	FBgn0037469	2	117	822	168	180	161	84	827	1131	97	1212	976	77	1338	93	1171	930	1347	170	1			FBgn0050345	CG30345
Tailor	FBgn0037470	0	244	5395	374	223	305	130	5273	6446	213	5624	5133	150	6511	149	5916	5341	6035	245	0			FBgn0011327	Uch-L5
alphaTub84B	FBgn0003884	25	4738	72505	6342	5649	3420	1774	64161	87734	3624	65336	71035	2864	71447	2338	78971	70899	69754	4199	65			FBgn0003731	Egfr
e(y)2b	FBgn0040670	0	0	12	0	0	2	0	14	15	0	4	14	0	12	0	11	14	16	0	0			FBgn0032422	atilla
Alh	FBgn0261238	0	101	4656	125	98	88	34	3948	5341	58	5868	4448	55	6602	81	4262	4339	5839	53	0			FBgn0019643	
Mlp84B	FBgn0014863	0	24	287	15	18	9	8	200	183	7	110	278	7	130	4	219	228	110	12	1			FBgn0037667	CG16734
CG10098	FBgn0037472	0	97	1461	106	90	60	48	1576	1997	46	1793	1463	28	2069	53	1922	1579	2056	81	0			FBgn0000562	egl
CG10068	FBgn0037473	0	48	1642	55	42	32	9	1525	1516	28	1669	1533	35	1924	15	1584	1619	1748	37	0			FBgn0033483	egr
CG31248	FBgn0051248	0	5	5	0	2	0	2	5	2	2	5	5	1	1	0	6	5	5	0	0			FBgn0002709	mei-218
CG31493	FBgn0051493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0260771	Larp7
Fer1	FBgn0037475	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0			FBgn0033715	CG8490
CG14610	FBgn0037477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0023180	Orc6
CG2656	FBgn0037478	0	184	615	139	133	113	75	556	664	97	677	536	72	715	71	695	658	634	147	0			FBgn0262730	dtn
gfzf	FBgn0250732	1	292	3270	321	210	247	83	2953	4857	164	4553	3827	127	5584	124	4288	3147	4654	211	7			FBgn0027561	CG18659
Sas-4	FBgn0011020	1	136	2938	177	141	135	47	3007	3716	88	3754	2994	75	4358	66	3412	3030	4043	147	0			FBgn0034443	cer
MAGE	FBgn0037481	0	153	1346	240	151	155	80	1407	1678	155	1786	1426	112	2059	118	1734	1515	1916	194	0			FBgn0035957	CG5144
sas	FBgn0002306	0	5	53	3	1	4	0	50	32	1	21	28	1	20	1	38	59	25	5	1			FBgn0260484	HIP
CG10055	FBgn0037482	3	257	4784	269	237	231	96	4932	6209	165	5449	4705	131	6425	112	5688	5139	6056	212	0			FBgn0023095	caps
lap	FBgn0086372	5	255	9318	354	256	223	88	7619	8441	261	7985	8660	142	8849	151	7785	8833	7862	207	2			FBgn0250907	Cht10
CG14609	FBgn0037483	0	1	2	0	0	0	0	3	0	0	1	0	0	1	0	0	0	1	0	0			FBgn0038388	CG4287
CG1288	FBgn0250845	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0			FBgn0261671	tweek
CG14606	FBgn0037485	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	0	2	0			FBgn0034537	DMAP1
CG14605	FBgn0037486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0038381	EndoU
thw	FBgn0037487	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0030863	CG8188
CG14607	FBgn0037488	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0			FBgn0039713	RpS8
CG1234	FBgn0037489	0	396	4132	413	289	320	147	3302	3791	212	3058	3745	157	3490	203	3620	3801	3005	316	2			FBgn0052676	stx
CG10053	FBgn0037490	0	22	345	25	21	14	9	355	449	2	397	365	14	465	10	406	398	407	12	0			FBgn0026872	CG14777
CG1227	FBgn0037491	1	123	1587	98	79	64	35	1636	1876	64	2012	1514	44	2391	43	1812	1735	2280	26	0			FBgn0033717	CG8839
Dtwd2	FBgn0037492	0	70	674	74	48	59	18	679	821	19	750	702	14	834	29	749	683	793	41	0			FBgn0261963	mid
Obp84a	FBgn0011282	0	1	13	0	2	0	0	9	12	0	10	15	0	9	0	18	15	7	0	0			FBgn0039155	Kal1
Gld	FBgn0001112	0	1	22	0	0	0	2	24	25	3	22	28	3	16	0	33	35	24	0	0			FBgn0032033	CG13392
Syt4	FBgn0028400	0	0	0	2	0	3	0	0	357	0	496	275	0	478	1	370	0	428	0	0			FBgn0051957	CG31957
rn	FBgn0267337	0	1	4	0	1	1	0	2	6	1	3	6	0	4	0	2	1	9	0	0			FBgn0262563	CG43103
RacGAP84C	FBgn0045843	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0			FBgn0024222	IKKbeta
CG42544	FBgn0260713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029002	miple2
CG10029	FBgn0037498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0013771	Cyp6a9
CG44335	FBgn0265423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0045035	tefu
CG31496	FBgn0051496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0031285	CG3662
nxf4	FBgn0051501	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0020762	Atet
CG43290	FBgn0262982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0030740	CG9917
CG17944	FBgn0037500	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0			FBgn0035438	PHGPx
Mst84Dd	FBgn0004175	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0			FBgn0035542	DOR
Mst84Dc	FBgn0004174	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0			FBgn0035469	Lamtor4
Mst84Db	FBgn0004173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0010355	Taf1
Mst84Da	FBgn0004172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0020251	sfl
MstProx	FBgn0015770	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1			FBgn0260755	CG42553
CG42650	FBgn0261502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0040022	Set1
Ir84a	FBgn0037501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0			FBgn0036551	CG17029
wa-cup	FBgn0037502	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0261547	Exn
CG14598	FBgn0037503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			FBgn0028691	Rpn9
